Date,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,fdbb,fdbs,fdb,aof,aofvalue,aoaz,aobz,zlc,zlcb,zlcs,aocolor,accolor,zcol,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow
2021-05-05 21:00:00,242639,1.39075,1.3941,1.38569,1.388775,1.389895,0.0241904548,-0.029451089,1.3843795243,1.3875265373,1.3874938524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0241904548,1,0,0.0,0.0,0.0,green,green,gray,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2021-05-06 21:00:00,285628,1.388775,1.400585,1.388445,1.3989,1.394515,0.0381425932,0.0208772594,1.3848562916,1.3867797826,1.3875605819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0381425932,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-08 21:00:00,900,1.3989,1.400845,1.397405,1.400615,1.399125,0.049535129,0.0515288558,1.3856581153,1.3867629348,1.3880759655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.049535129,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-09 21:00:00,303507,1.400615,1.415845,1.39961,1.41179,1.4077275,0.069216267,0.0919507848,1.3858424911,1.3868960055,1.3884397724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.069216267,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-10 21:00:00,325760,1.41179,1.416715,1.410395,1.41431,1.413555,0.092832119,0.1238904917,1.3855124918,1.3873011923,1.3896548179,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.092832119,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-11 21:00:00,357369,1.41431,1.41532,1.404875,1.40533,1.4100975,0.1137283045,0.1336217048,1.3855996078,1.3876254182,1.3915488543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1137283045,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-12 21:00:00,350743,1.40533,1.407825,1.40057,1.4052,1.4041975,0.1221148182,0.10624469,1.3857709841,1.388486616,1.3947845835,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1221148182,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-13 21:00:00,220165,1.4052,1.41114,1.40362,1.40969,1.40738,0.1287527383,0.076270385,1.38610687,1.389816414,1.3985386668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1287527383,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2021-05-15 21:00:00,54,1.40969,1.410855,1.409395,1.41035,1.410125,0.1272822699,0.0336687283,1.3863982646,1.3920552997,1.4008504334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1272822699,1,0,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-05-16 21:00:00,222401,1.41035,1.41468,1.407725,1.413295,1.4112025,0.1180143643,-0.0129075954,1.3870226288,1.3947427623,1.4015198467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1180143643,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
